*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 19, 2026 13:40:14

*RUN   1        : No N                      WHAPS048 HWOC2501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : HWOC2501 WH
 DATA PATH      : C:/DSSAT48/Wheat/
 TREATMENT  1   : No N                      WHAPS048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2024 296     1    21938     0.00     0.00       22     0.00     0.00       81        0        0       81
 2024 297     2    21178     0.01     0.00       43     0.00     0.00      158        0        0      158
 2024 298     3    18852     0.03     0.00       62     0.00     0.00      227        0        0      227
 2024 299     4    17183     0.04     0.00       79     0.00     0.00      290        0        0      291
 2024 300     5    16046     0.06     0.00       95     0.00     0.00      349        0        0      349
 2024 301     6    14642     0.08     0.00      110     0.00     0.00      403        0        0      403
 2024 302     7    13625     0.09     0.00      123     0.00     0.00      453        0        0      453
 2024 303     8    14261     0.11     0.00      138     0.00     0.00      505        0        0      506
 2024 304     9    14682     0.13     0.00      152     0.00     0.00      559        0        0      560
 2024 305    10    14089     0.14     0.00      166     0.00     0.00      611        0        0      611
 2024 306    11    13398     0.15     0.00      180     0.00     0.00      660        0        0      661
 2024 307    12    11466     0.16     0.00      191     0.00     0.00      702        0        0      703
 2024 308    13     9468     0.17     0.00      201     0.00     0.00      737        1        0      738
 2024 309    14     7078     0.17     0.00      208     0.00     0.00      763        1        0      764
 2024 310    15     5126     0.18     0.00      213     0.00     0.00      782        1        0      783
 2024 311    16     3040     0.18     0.00      216     0.00     0.00      793        1        0      794
 2024 312    17     3002     0.18     0.00      219     0.00     0.00      804        1        0      805
 2024 313    18     2453     0.18     0.00      222     0.00     0.00      813        1        0      814
 2024 314    19     1788     0.18     0.00      223     0.00     0.00      820        1        0      821
 2024 315    20     1179     0.18     0.00      224     0.00     0.00      824        1        0      825
 2024 316    21     1290     0.17     0.00      226     0.00     0.00      829        1        0      830
 2024 317    22      675     0.16     0.00      226     0.00     0.00      831        1        0      832
 2024 318    23      427     0.13     0.00      227     0.00     0.00      833        1        0      834
 2024 319    24      247     0.11     0.00      227     0.00     0.00      834        1        0      835
 2024 320    25      218     0.11     0.00      227     0.00     0.00      834        1        0      836
 2024 321    26      214     0.13     0.00      228     0.00     0.00      835        2        0      837
 2024 322    27      210     0.14     0.00      228     0.00     0.00      836        2        0      838
 2024 323    28      220     0.10     0.00      228     0.00     0.00      837        2        0      838
 2024 324    29      352     0.01     0.00      228     0.00     0.00      838        2        0      840
 2024 325    30      602     0.01     0.00      229     0.00     0.00      840        2        0      842
 2024 326    31      475     0.01     0.00      229     0.00     0.00      842        2        0      844
 2024 327    32      326     0.03     0.00      230     0.00     0.00      843        2        0      845
 2024 328    33      172     0.05     0.00      230     0.00     0.00      844        2        0      845
 2024 329    34      109     0.08     0.00      230     0.00     0.00      844        2        0      846
 2024 330    35       90     0.11     0.00      230     0.00     0.00      845        2        0      846
 2024 331    36      166     0.12     0.00      230     0.00     0.00      845        2        0      847
 2024 332    37      410     0.04     0.00      231     0.00     0.00      847        2        0      848
 2024 333    38     1125     0.07     0.00      232     0.00     0.00      851        2        0      853
 2024 334    39     2263     0.02     0.00      234     0.00     0.00      859        2        0      861
 2024 335    40      941     0.06     0.00      235     0.00     0.00      863        2        0      864
 2024 336    41      445     0.10     0.00      235     0.00     0.00      864        2        0      866
 2024 337    42      143     0.12     0.00      236     0.00     0.00      865        2        0      867
 2024 338    43       64     0.03     0.00      236     0.00     0.00      865        2        0      867
 2024 339    44       52     0.03     0.00      236     0.00     0.00      865        2        0      867
 2024 340    45       43     0.06     0.00      236     0.00     0.00      865        2        0      867
 2024 341    46       34     0.08     0.00      236     0.00     0.00      865        2        0      868
 2024 342    47       92     0.00     0.00      236     0.00     0.00      866        2        0      868
 2024 343    48      119     0.02     0.00      236     0.00     0.00      866        2        0      868
 2024 344    49       88     0.03     0.00      236     0.00     0.00      867        2        0      869
 2024 345    50       95     0.06     0.00      236     0.00     0.00      867        2        0      869
 2024 346    51       97     0.09     0.00      236     0.00     0.00      867        2        0      869
 2024 347    52       46     0.11     0.00      236     0.00     0.00      867        2        0      870
 2024 348    53       26     0.12     0.00      236     0.00     0.00      867        2        0      870
 2024 349    54       13     0.13     0.00      236     0.01     0.00      868        2        0      870
 2024 350    55        9     0.13     0.00      236     0.01     0.00      868        2        0      870
 2024 351    56       10     0.11     0.00      236     0.01     0.00      868        2        0      870
 2024 352    57       24     0.11     0.00      236     0.01     0.00      868        3        0      870
 2024 353    58       58     0.11     0.00      236     0.01     0.00      868        3        0      870
 2024 354    59      140     0.12     0.00      237     0.01     0.00      868        3        0      871
 2024 355    60      378     0.04     0.00      237     0.01     0.00      870        3        0      872
 2024 356    61      348     0.06     0.00      237     0.01     0.00      871        3        0      874
 2024 357    62      203     0.05     0.00      238     0.01     0.00      872        3        0      875
 2024 358    63      138     0.01     0.00      238     0.01     0.00      872        3        0      875
 2024 359    64       63     0.03     0.00      238     0.01     0.00      873        3        0      875
 2024 360    65       24     0.05     0.00      238     0.01     0.00      873        3        0      875
 2024 361    66       23     0.09     0.00      238     0.01     0.00      873        3        0      876
 2024 362    67       14     0.10     0.00      238     0.01     0.00      873        3        0      876
 2024 363    68        5     0.11     0.00      238     0.01     0.00      873        3        0      876
 2024 364    69        3     0.11     0.00      238     0.01     0.00      873        3        0      876
 2024 365    70        0     0.11     0.00      238     0.01     0.00      873        3        0      876
 2024 366    71        0     0.10     0.00      238     0.01     0.00      873        3        0      876
 2025 001    72        0     0.10     0.00      238     0.01     0.00      873        3        0      876
 2025 002    73        0     0.10     0.00      238     0.01     0.00      873        3        0      876
 2025 003    74        0     0.00     0.00      238     0.01     0.00      873        3        0      876
 2025 004    75        0     0.03     0.00      238     0.01     0.00      873        3        0      876
 2025 005    76        0     0.06     0.00      238     0.01     0.00      873        3        0      876
 2025 006    77        0     0.00     0.00      238     0.01     0.00      873        3        0      876
 2025 007    78        3     0.02     0.00      238     0.01     0.00      873        3        0      876
 2025 008    79        4     0.04     0.00      238     0.01     0.00      873        3        0      876
 2025 009    80       11     0.00     0.00      238     0.01     0.00      873        3        0      876
 2025 010    81       49     0.00     0.00      238     0.01     0.00      873        3        0      876
 2025 011    82       33     0.02     0.00      238     0.01     0.00      873        3        0      876
 2025 012    83        8     0.05     0.00      238     0.01     0.00      873        3        0      876
 2025 013    84        2     0.08     0.00      238     0.01     0.00      873        3        0      876
 2025 014    85        0     0.09     0.00      238     0.01     0.00      873        3        0      877
 2025 015    86        0     0.09     0.00      238     0.01     0.00      873        3        0      877
 2025 016    87        0     0.08     0.00      238     0.01     0.00      873        3        0      877
 2025 017    88        0     0.09     0.00      238     0.01     0.00      873        3        0      877
 2025 018    89        0     0.09     0.00      238     0.01     0.00      873        3        0      877
 2025 019    90        0     0.09     0.00      238     0.01     0.00      873        4        0      877
 2025 020    91        0     0.09     0.00      238     0.01     0.00      873        4        0      877
 2025 021    92        0     0.09     0.00      238     0.01     0.00      873        4        0      877
 2025 022    93        0     0.09     0.00      238     0.01     0.00      873        4        0      877
 2025 023    94        0     0.09     0.00      238     0.01     0.00      873        4        0      877
 2025 024    95        0     0.04     0.00      238     0.01     0.00      873        4        0      877
 2025 025    96        2     0.06     0.00      238     0.01     0.00      873        4        0      877
 2025 026    97       10     0.08     0.00      238     0.01     0.00      873        4        0      877
 2025 027    98       25     0.07     0.00      238     0.01     0.00      873        4        0      877
 2025 028    99      103     0.02     0.00      238     0.01     0.00      874        4        0      878
 2025 029   100      159     0.00     0.00      238     0.01     0.00      874        4        0      878
 2025 030   101      174     0.02     0.00      238     0.01     0.00      875        4        0      879
 2025 031   102       91     0.03     0.00      238     0.01     0.00      875        4        0      879
 2025 032   103       47     0.04     0.00      239     0.01     0.00      875        4        0      879
 2025 033   104       10     0.07     0.00      239     0.01     0.00      875        4        0      879
 2025 034   105        3     0.08     0.00      239     0.01     0.00      875        4        0      879
 2025 035   106        0     0.08     0.00      239     0.01     0.00      875        4        0      879
 2025 036   107        0     0.08     0.00      239     0.01     0.00      875        4        0      879
 2025 037   108        0     0.08     0.00      239     0.01     0.00      875        4        0      880
 2025 038   109        0     0.08     0.00      239     0.01     0.00      875        4        0      880
 2025 039   110        0     0.08     0.00      239     0.01     0.00      875        4        0      880
 2025 040   111        0     0.08     0.00      239     0.01     0.00      875        4        0      880
 2025 041   112        0     0.07     0.00      239     0.01     0.00      875        4        0      880
 2025 042   113        0     0.07     0.00      239     0.01     0.00      875        4        0      880
 2025 043   114        0     0.01     0.00      239     0.01     0.00      875        4        0      880
 2025 044   115        2     0.00     0.00      239     0.01     0.00      875        4        0      880
 2025 045   116        1     0.00     0.00      239     0.01     0.00      876        4        0      880
 2025 046   117        0     0.02     0.00      239     0.01     0.00      876        4        0      880
 2025 047   118        0     0.04     0.00      239     0.01     0.00      876        4        0      880
 2025 048   119        0     0.06     0.00      239     0.01     0.00      876        4        0      880
 2025 049   120        0     0.07     0.00      239     0.01     0.00      876        4        0      880
 2025 050   121        0     0.07     0.00      239     0.01     0.00      876        4        0      880
 2025 051   122        0     0.07     0.00      239     0.01     0.00      876        4        0      880
 2025 052   123        0     0.07     0.00      239     0.01     0.00      876        4        0      880
 2025 053   124        0     0.07     0.00      239     0.01     0.00      876        4        0      880
 2025 054   125        0     0.07     0.00      239     0.01     0.00      876        4        0      880
 2025 055   126        5     0.07     0.00      239     0.01     0.00      876        5        0      880
 2025 056   127      110     0.07     0.00      239     0.01     0.00      876        5        0      880
 2025 057   128     1447     0.07     0.00      240     0.01     0.00      881        5        0      886
 2025 058   129      346     0.06     0.00      240     0.01     0.00      883        5        0      887
 2025 059   130      161     0.04     0.00      241     0.01     0.00      883        5        0      888
 2025 060   131       29     0.03     0.00      241     0.01     0.00      883        5        0      888
 2025 061   132        6     0.05     0.00      241     0.01     0.00      883        5        0      888
 2025 062   133        0     0.06     0.00      241     0.01     0.00      883        5        0      888
 2025 063   134        0     0.07     0.00      241     0.01     0.00      883        5        0      888
 2025 064   135        1     0.06     0.00      241     0.01     0.00      883        5        0      888
 2025 065   136        7     0.06     0.00      241     0.01     0.00      883        5        0      888
 2025 066   137       57     0.06     0.00      241     0.01     0.00      883        5        0      888
 2025 067   138      820     0.06     0.00      242     0.01     0.00      886        5        0      891
 2025 068   139     2728     0.06     0.00      244     0.01     0.00      896        5        0      901
 2025 069   140     4094     0.06     0.00      248     0.01     0.00      912        5        0      916
 2025 070   141     5116     0.06     0.00      253     0.01     0.00      930        5        0      935
 2025 071   142     4992     0.06     0.00      258     0.01     0.00      949        5        0      954
 2025 072   143     4263     0.06     0.00      263     0.01     0.00      964        5        0      969
 2025 073   144     2470     0.05     0.00      265     0.01     0.00      973        5        0      978
 2025 074   145      867     0.05     0.00      266     0.01     0.00      976        5        0      982
 2025 075   146       72     0.06     0.00      266     0.01     0.00      977        5        0      982
 2025 076   147       17     0.06     0.00      266     0.01     0.00      977        5        0      982
 2025 077   148        2     0.06     0.00      266     0.01     0.00      977        5        0      982
 2025 078   149        0     0.06     0.00      266     0.01     0.00      977        5        0      982
 2025 079   150        0     0.06     0.00      266     0.01     0.00      977        5        0      982
 2025 080   151        4     0.06     0.00      266     0.01     0.00      977        5        0      982
 2025 081   152       63     0.06     0.00      266     0.01     0.00      977        5        0      982
 2025 082   153     2088     0.06     0.00      268     0.01     0.00      985        5        0      990
 2025 083   154     5010     0.05     0.00      273     0.01     0.00     1003        5        0     1008
 2025 084   155     6441     0.00     0.00      280     0.01     0.00     1027        5        0     1032
 2025 085   156     7131     0.02     0.00      287     0.01     0.00     1053        5        0     1058
 2025 086   157     5987     0.02     0.00      293     0.01     0.00     1075        5        0     1080
 2025 087   158     5214     0.04     0.00      298     0.01     0.00     1094        5        0     1099
 2025 088   159     4751     0.06     0.00      303     0.01     0.00     1111        5        0     1117
 2025 089   160     4313     0.05     0.00      307     0.01     0.00     1127        5        0     1133
 2025 090   161     3034     0.06     0.00      310     0.01     0.00     1138        5        0     1144
 2025 091   162     2581     0.06     0.00      313     0.01     0.00     1148        5        0     1153
 2025 092   163     2087     0.07     0.00      315     0.01     0.00     1156        5        0     1161
 2025 093   164     2508     0.08     0.00      317     0.01     0.00     1165        5        0     1170
 2025 094   165     3144     0.08     0.00      321     0.01     0.00     1176        6        0     1182
 2025 095   166     4373     0.08     0.00      325     0.01     0.00     1192        6        0     1198
