*Output file list

@FILENAME          DESCRIPTION
PlantGro.OUT       Daily plant growth output file                    
PlantN.OUT         Daily plant nitrogen output file                  
SoilNi.OUT         Daily inorganic soil N output file                
SoilTemp.OUT       Daily soil temperature output file                
Weather.OUT        Daily weather output file                         
GHG.OUT            Greenhouse gas emissions report                   
N2O.OUT            Soil N2O and N2 daily emissions output            
Evaluate.OUT       Evaluation output file (simulated vs. measured)   
OVERVIEW.OUT       Seasonal overview output file                     
SoilNBalSum.OUT    Soil N balance summary                            
SoilNiBal.OUT      Seasonal inorganic soil N balance                 
SoilNoBal.OUT      Seasonal organic soil N balance                   
Summary.OUT        Seasonal summary output file                      
INFO.OUT           Information output file                           
WARNING.OUT        Warning messages                                  
LUN.LST            List of output files generated                    
