*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 19, 2026 13:40:14

*RUN   1        : No N                      WHAPS048 HWOC2501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : HWOC2501 WH
 DATA PATH      : C:/DSSAT48/Wheat/
 TREATMENT  1   : No N                      WHAPS048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-10   10-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-10   10-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-10   10-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
 2024 295     0     0     0    50.2    45.1     5.1     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.33     1.3     1.3    1.33    1.33    1.33    1.33    1.33    1.33    1.33    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    1.48    1.48    1.48    1.48    1.48    1.48    1.48    1.48    1.48    1.48
 2024 296     1     0     0    51.0    46.0     5.0     0.0    0.75    0.84    0.00    0.00    0.00    0.75    0.00    0.00    0.00    1.29     1.4     1.4    1.35    1.35    1.35    1.35    1.35    1.35    1.35    0.44    0.45    0.20    0.13    0.13    0.13    0.13    0.13    0.13    0.13    1.73    1.83    1.57    1.49    1.49    1.49    1.49    1.49    1.49    1.48
 2024 297     2     0     0    51.7    46.8     4.9     0.0    1.49    1.65    0.00    0.00    0.00    1.49    0.00    0.00    0.00    1.39     1.5     1.4    1.39    1.37    1.37    1.37    1.37    1.37    1.37    0.68    0.68    0.24    0.12    0.12    0.12    0.12    0.12    0.12    0.11    2.07    2.14    1.64    1.51    1.49    1.50    1.50    1.49    1.49    1.49
 2024 298     3     0     0    52.4    47.5     4.8     0.0    2.15    2.42    0.00    0.00    0.00    2.15    0.00    0.00    0.00    1.58     1.5     1.4    1.40    1.40    1.39    1.39    1.39    1.39    1.39    0.85    0.85    0.26    0.11    0.11    0.11    0.11    0.11    0.10    0.10    2.43    2.40    1.70    1.51    1.51    1.50    1.50    1.50    1.50    1.49
 2024 299     4     0     0    53.0    48.3     4.7     0.0    2.77    3.15    0.00    0.00    0.00    2.77    0.00    0.00    0.00    1.78     1.7     1.5    1.41    1.41    1.40    1.40    1.40    1.40    1.40    0.97    0.98    0.28    0.11    0.10    0.10    0.11    0.10    0.10    0.09    2.75    2.63    1.76    1.52    1.51    1.51    1.51    1.50    1.50    1.50
 2024 300     5     0     0    53.6    49.0     4.6     0.0    3.35    3.84    0.00    0.00    0.00    3.35    0.00    0.00    0.00    2.04     1.8     1.5    1.42    1.42    1.42    1.41    1.41    1.42    1.42    1.06    1.07    0.30    0.10    0.10    0.10    0.10    0.09    0.09    0.08    3.11    2.84    1.80    1.52    1.52    1.51    1.51    1.50    1.50    1.50
 2024 301     6     0     0    54.1    49.6     4.5     0.0    3.89    4.49    0.00    0.00    0.00    3.89    0.00    0.00    0.00    2.33     1.9     1.5    1.43    1.43    1.43    1.42    1.42    1.43    1.43    1.13    1.13    0.31    0.10    0.09    0.09    0.09    0.09    0.08    0.07    3.46    3.02    1.84    1.52    1.52    1.52    1.51    1.51    1.51    1.50
 2024 302     7     0     0    54.6    50.2     4.4     0.0    4.40    5.11    0.00    0.00    0.00    4.40    0.00    0.00    0.00    2.58     2.0     1.6    1.44    1.44    1.44    1.43    1.43    1.44    1.44    1.17    1.18    0.31    0.09    0.09    0.09    0.09    0.08    0.08    0.07    3.75    3.19    1.88    1.53    1.53    1.52    1.52    1.51    1.51    1.50
 2024 303     8     0     0    55.0    50.7     4.2     0.0    4.94    5.73    0.00    0.00    0.00    4.94    0.17    0.00    0.00    2.65     2.1     1.6    1.45    1.45    1.45    1.44    1.44    1.45    1.45    1.15    1.21    0.32    0.09    0.08    0.08    0.09    0.08    0.07    0.06    3.81    3.34    1.93    1.54    1.54    1.53    1.53    1.52    1.52    1.51
 2024 304     9     0     0    55.2    51.1     4.1     0.0    5.50    6.34    0.00    0.00    0.00    5.50    0.50    0.00    0.00    2.61     2.2     1.7    1.46    1.46    1.46    1.46    1.45    1.46    1.46    1.09    1.22    0.32    0.09    0.08    0.08    0.08    0.08    0.07    0.06    3.70    3.45    1.98    1.55    1.54    1.54    1.54    1.53    1.53    1.52
