Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
29/10/2024,0,0.051166204,0.041166204,0.091216204,0,0,0,0,0,0,Sowing,29/10/2024,09/08/2025,11.6,8.4,17.3,0,92,1026.7,7.3,48,12.85,12.85
30/10/2024,1,0.051313469,0.041313469,0.091363469,0,0,0,0,0,0,Sowing,29/10/2024,09/08/2025,10,6.9,13.9,0,94,1028,5.4,88,10.4,23.25
31/10/2024,2,0.051585473,0.041585473,0.091635473,0,0,0,0,0,0,Sowing,29/10/2024,09/08/2025,8.7,5.1,12.9,0,93,1028.6,4.4,96,9,32.25
01/11/2024,3,0.051961879,0.041961879,0.092011879,0,0,0,0,0,0,Sowing,29/10/2024,09/08/2025,8.3,5.5,12.1,0,93,1026.2,7.1,59,8.8,41.05
02/11/2024,4,0.052441354,0.042441354,0.092491354,0,0,0,0,0,0,Sowing,29/10/2024,09/08/2025,8.2,6.3,10,0,89,1029.8,7.1,99,8.15,49.2
03/11/2024,5,0.053037667,0.043037667,0.093087667,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,7.8,4.3,11.5,0,84,1030.8,8,78,7.9,57.1
04/11/2024,6,0.053759745,0.043759745,0.093809745,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,4.7,0.7,10.1,0,88,1029.5,8.2,10,5.4,62.5
05/11/2024,7,0.054573108,0.044573108,0.094623108,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,4.2,1.8,7.9,0,91,1027.4,8.6,70,4.85,67.35
06/11/2024,8,0.055387134,0.045387134,0.095437134,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,6.3,2.7,10.6,0,93,1029.9,6.1,91,6.65,74
07/11/2024,9,0.056194859,0.046194859,0.096244859,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,6,4.3,7.6,0,89,1032.4,6.9,100,5.95,79.95
08/11/2024,10,0.057265146,0.047265146,0.097315146,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,5.6,2.7,7.3,0,89,1029.2,8.6,88,5,84.95
09/11/2024,11,0.05896374,0.04896374,0.09901374,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,3.9,0.5,9.3,0,92,1027.9,6.3,47,4.9,89.85
10/11/2024,12,0.061337601,0.051337601,0.101387601,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,2.8,-0.1,7.8,0,93,1028.7,4.2,41,3.85,93.7
11/11/2024,13,0.064118468,0.054118468,0.104168468,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,4.2,-0.1,6.9,5.6,93,1029.1,4.9,100,3.4,97.1
12/11/2024,14,0.067047568,0.057047568,0.107097568,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,3.5,1.1,5,1.1,89,1029.4,10,99,3.05,100.15
13/11/2024,15,0.070011417,0.060011417,0.110061417,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,1.5,-0.4,3.2,1,91,1031.4,7.1,100,1.4,101.55
14/11/2024,16,0.072982018,0.062982018,0.113032018,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,3.3,2.2,4.4,1.6,96,1028.8,10.4,100,3.3,104.85
15/11/2024,17,0.075955269,0.065955269,0.116005269,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,5.1,2.3,7.3,0.8,92,1027.7,4,90,4.8,109.65
16/11/2024,18,0.078930791,0.068930791,0.118980791,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,1.9,-1,7.7,0,90,1022.1,7.3,14,3.35,113
17/11/2024,19,0.081908626,0.071908626,0.121958626,0,0,0,0,0,0,Emergence,29/10/2024,09/08/2025,3.1,0.7,5.1,1.7,91,1015.7,17.6,100,2.9,115.9
