template_section,icasa_dataset,icasa_subset,icasa_group,icasa_subgroup,icasa_header_long,icasa_header_short,icasa_description,icasa_unit,icasa_type,icasa_minval,icasa_maxval,dataModel,section,header,header_long,DQ_mindat,description,unit,code_mappings,fun_header,fun_header_args,fun_values,fun_values_args,comments
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,experiment_license,ex_license,License associated with experiment,,text,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,AgMIP_date_rated,AGMIP_DATE,Date of AgMIP rating,date,date,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,AgMIP_rater,AGMIP_RATER,Initials of person assigning AgMIP rating,,text,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,AgMIP_rating,AGMIP_RATING,"AgMIP sentinel site rating (gold, silver, etc.)",,code,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,AgMIP_rating_mgmt,RATING_MGMT,AgMIP sentinel site rating for management data,1,number,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,AgMIP_rating_observations,RATING_OBS,AgMIP sentinel site rating for observed data,1,number,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,AgMIP_rating_soils,RATING_SOIL,AgMIP sentinel site rating for soil data,1,number,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,AgMIP_rating_weather,RATING_WTH,AgMIP sentinel site rating for weather data,1,number,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,crop_model_version,MODEL_VER,Crop model version related to data upload,,text,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,data_source,DATA_SOURCE,"Original format of data (DSSAT, APSIM, CIMMYT, field log, etc)",,code,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,experiment_citation,ex_citation,Full citation for experimental data,,text,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,last_update,LAST_UPDATE,Date of last upload of information to experimental data,date,date,,,,,,,,,,,,,,,
AGMIP,EXPERIMENT,METADATA,GENERAL,AGMIP,user_id,USER_ID,id of user who uploaded data (typically email address),,text,,,,,,,,,,,,,,,
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,auto_irrig_amnt_applied,IAMT,"Irrigation amount, automatic application",mm,single,0,,dssat,IRRIGATION,IAMT,,0,Amount per automatic irrigation if fixed,mm,,,,,,header
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,auto_irrig_growth_stg,IRSTG,"Irrigation, growth stage, automatic appn",code,text,,,dssat,IRRIGATION,IOFF,,0,"End of automatic applications, growth stage",code,,,,,,header
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,auto_irrig_manag_depth,IRMDP,"Irrigation management, reference soil depth for automatic application",cm,single,0,,dssat,IRRIGATION,IDEP,,0,Management depth for automatic application,cm,,,,,,header
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,autoirrig_threshold_H2O,IRTHR,Irrigation threshold water content for automatic application,%,single,0,100,dssat,IRRIGATION,ITHR,,0,"Threshold for automatic appl,, % of max, available",%,,,,,,header
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,autoirrigation_end_H2O,IREPT,"Irrigation, ending % avail, automatic application",%,single,0,100,dssat,IRRIGATION,IEPT,,0,"End point for automatic appl,, % of max, available",%,,,,,,header
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,irrigation_efficiency,IREFF,Irrigation application efficiency as fraction (0 to 1),,single,0,1,dssat,IRRIGATION,EFIR,,0,Irrigation application efficiency,,,,,,,header
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,method_auto_applications,IAME,Method for automatic applications,code,text,,,dssat,IRRIGATION,IAME,,0,Method for automatic applications,code,"list('c(IR001, IR002, IR003, IR004, IR005, IR006, IR007, IR008, IR009, IR010, IR011): 1')",,,,,"IR012 (subsurface (burried) drip, mm) not in DSSAT48 key"
AUTOMATIC_IRRIG,EXPERIMENT,MANAGEMENT,IRRIGATIONS,AUTOMATIC_IRRIG,auto_irrig_date,IADATE,Date to begin automatic irrigation,date,date,,,,,,,,,,,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_date,CDATE,Chemicals application date,date,date,,,dssat,CHEMICALS,CDATE,,0,"Application date, year + day or days from planting",date,,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,application_depth_chem,CHDEP,Chemicals application depth,cm,single,0,,dssat,CHEMICALS,CHDEP,,0,Chemical application depth,cm,,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_level,CH,"Chemicals application level, liks to CHEMICALS table",1,single,,,dssat,CHEMICALS,C,,0,Chemicals application level,1,,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_target,CH_TARGETS,Chemicals application target,text,text,,,dssat,CHEMICALS,CHT,,0,Chemical target,text,,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_method,CHACD,Chemicals application method,code,text,,,dssat,CHEMICALS,CHME,,0,Chemical application method,code,"list('c(AP001, AP002, AP003, AP004, AP005, AP006, AP007, AP008, AP009, AP011, AP012, AP013, AP014, AP015, AP016, AP017, AP018, AP019, AP020): 1')",,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_amount,CHAMT,Chemicals application amount (active),kg/ha,single,0,,dssat,CHEMICALS,CHAMT,,0,Chemical application amount,kg/ha,,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_material,CHCD,Chemicals application material,code,text,,,dssat,CHEMICALS,CHCOD,,0,Chemical material,code,1,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_day,CHDAY,Chemicals application day of year or DAP if year = -99,day,single,0,366,,,,,,,,,,,,,
CHEMICAL_APPLICS,EXPERIMENT,MANAGEMENT,CHEMICALS,CHEMICAL_APPLICS,chemical_applic_year,CHYR,Chemicals application year,date,single,,,,,,,,,,,,,,,
CHEMICALS,EXPERIMENT,MANAGEMENT,CHEMICALS,,chemical_applic_level,CH,Chemicals application level,1,single,,,dssat,CHEMICALS,C,,0,Chemicals application level,1,,,,,,
CHEMICALS,EXPERIMENT,MANAGEMENT,CHEMICALS,,chemical_applic_name,CH_NAME,"Chemical, name experimentalist assigned to a given application level",text,text,,,dssat,CHEMICALS,CHNAME,,0,Chemical application level name,text,,,,,,
CHEMICALS,EXPERIMENT,MANAGEMENT,CHEMICALS,,chemical_applic_notes,CH_NOTES,"Chemical notes, extensive comments on applications",,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,DOCUMENTS,,digital_object_identifier,DIGITAL_OBJ_ID,Digital_object_identifier according to international standard (DOI),,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,DOCUMENTS,,document_date,DOC_DATE,"Description of type of document (e.g., photo, graphic, memo, etc.",,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,DOCUMENTS,,document_link,DOC_LINK,URL for location of digital document,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,DOCUMENTS,,document_name,DOCUMENT,Document name in abbreviated form,,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,DOCUMENTS,,document_type,DOC_TYPE,"Description of type of document (e.g., photo, graphic, memo, etc.",,text,,,,,,,,,,,,,,,
